geo,time,pop1,pop2,pop3,pop4,pop5
afg,1800,477591464,1086809,1467457,73097,964706
alb,1800,308667890,1163099,1519418,53291,1424522
dza,1800,303770707,1589998,1893570,110485,1627476
ago,1800,725568384,400495,626992,85502,259113
arg,1800,785112920,183122,526107,108647,864418
arm,1800,1123818791,1856266,1696447,89039,843159
aus,1800,978982298,998902,1084115,31669,943170
aut,1800,394788407,1034993,548656,693,567323
aze,1800,309371708,1454682,1285886,79514,904416
bhr,1800,389638493,631102,79260,10469,524305
bgd,1800,530784562,1461130,1595403,57726,345980
blr,1800,47464262,632114,345326,18959,1330691
bel,1800,1064003190,572675,1010153,40973,290268
ben,1800,202225508,216535,918174,115756,1583097
btn,1800,167571994,72449,1691918,22139,1615405
bol,1800,270704425,404555,612977,51908,491318
bih,1800,83210794,1617227,1785117,118781,237580
bwa,1800,1095557724,1913581,947551,82472,262807
bra,1800,408779922,104549,433384,62283,938733
bgr,1800,1285456885,1597169,1331815,33982,1229440
bfa,1800,1306910248,1556523,553622,32175,995401
bdi,1800,881313673,1476027,1867078,105936,933902
khm,1800,950337884,1776277,32709,4394,994087
cmr,1800,422340569,414739,370052,125171,26256
can,1800,307825353,1153200,283607,20517,1624555
cpv,1800,1171860283,217888,1840903,53120,1556438
caf,1800,800977734,877108,1441235,3036,1398135
tcd,1800,1297178195,1873842,970575,112065,1815321
chl,1800,1345806399,1196348,1210897,65706,1097842
chn,1800,607971517,402210,1808430,99545,734266
col,1800,1229607182,1849066,133710,123617,1322231
com,1800,1050377065,791098,89351,51159,1554505
cod,1800,1012459905,1588833,985239,121756,1928459
cog,1800,814929312,1124776,1315587,111964,1471489
cri,1800,633833427,1260118,411016,34102,431578
civ,1800,117800846,432214,1780875,128959,969097
cub,1800,687299393,912258,1806121,84010,1236806
cyp,1800,332294694,1997326,1386487,126039,559376
cze,1800,1393862481,1553504,1381122,108505,1509823
dnk,1800,907310563,276725,880295,114196,703783
dji,1800,510561023,1418811,129968,77427,1936730
dom,1800,67591779,379777,1722123,32339,1048317
ecu,1800,154577930,873515,1938997,83185,1292409
egy,1800,353688700,775831,988010,119260,408399
slv,1800,895280399,13955,1528785,74078,1017432
gnq,1800,1051923095,1414387,1486679,34706,814059
eri,1800,818687417,960031,1134772,104907,1310527
est,1800,1288842973,1809173,1311750,13480,1377180
eth,1800,946124257,1485628,994293,59026,1437626
fji,1800,1182589733,662573,1329880,73477,1994706
fin,1800,1127190860,279735,175008,127504,1765577
fra,1800,716132943,1958728,115036,42380,1412917
gab,1800,336723416,1479513,1222016,4781,66982
gmb,1800,1277765414,600908,919429,48854,1799310
geo,1800,620475154,821698,1238758,2517,1795606
deu,1800,848580012,1382872,1355622,92837,643478
gha,1800,508119415,1830174,662416,38049,220608
grc,1800,816641734,1260386,1502642,9149,85465
gtm,1800,1245050979,289788,1688046,102697,245268
gin,1800,16304462,996019,281804,89091,947565
gnb,1800,778092592,908998,173988,76505,1200475
guy,1800,198869881,919651,562298,81057,552584
hti,1800,1009996021,622336,281465,73600,276535
hnd,1800,1041162536,153364,921603,14286,230999
hun,1800,855788724,1431543,806585,52130,444195
ind,1800,778230903,672170,827830,82595,1361220
idn,1800,1398822348,1151319,701641,99518,618619
irn,1800,190167368,1794797,222070,17991,1164240
irq,1800,73671641,1093997,353778,57776,1940963
irl,1800,1067715855,1773542,448825,103565,149432
isr,1800,709250068,1945564,1208486,75761,371026
ita,1800,1381761743,1314728,340658,75525,1211319
jam,1800,561716655,1126592,115933,38464,616595
jpn,1800,843509474,891612,898481,18611,1896583
jor,1800,1385930817,481389,656442,95421,505840
kaz,1800,1222075095,935736,850226,6497,328570
ken,1800,1392213360,1992622,1373270,30960,1385910
kwt,1800,639679993,31746,1977942,39229,387765
kgz,1800,1376075661,985102,1185547,100536,826814
lao,1800,384081601,1621045,1610912,50400,399673
lva,1800,1047429488,136131,1853136,26727,1499499
lbn,1800,322290760,1091446,168042,67875,873655
lso,1800,278453160,623850,1872447,99980,876982
lbr,1800,923380789,8990,643383,43099,1986366
lby,1800,479133127,1476636,859854,30385,1524920
ltu,1800,697643587,1526348,1355016,20495,1789187
lux,1800,1137986659,392164,553474,89838,1256507
mkd,1800,127724294,1968422,654999,72508,1674466
mdg,1800,1155771663,323074,46123,66782,1575757
mwi,1800,135704131,60029,716596,30819,1609839
mys,1800,262100793,1670984,1873973,111312,718729
mli,1800,1375068820,867929,375606,100357,412687
mrt,1800,888000281,1857279,562524,91780,1196116
mus,1800,814558161,882927,1957357,64111,957200
mex,1800,854748993,309276,1869462,52064,338184
mda,1800,1290357632,1131032,1822707,46398,1683326
mng,1800,879854950,1747791,1719316,102398,606848
mne,1800,722413842,1584077,1876674,49483,840544
mar,1800,889812581,1376631,1611900,35877,1861113
moz,1800,47118349,132193,1518160,72229,1286796
mmr,1800,1295773610,1038037,672333,104002,894259
nam,1800,675483774,512200,1597643,122815,1883068
npl,1800,1362611191,83986,958754,91999,647856
nld,1800,326135947,1230596,485465,76493,1383782
nzl,1800,51652536,220407,1679463,56002,1773552
nic,1800,183669164,591897,1977569,4417,1670473
ner,1800,215013803,632343,873243,67560,404287
nga,1800,1242323329,1557430,1257321,84090,1389694
prk,1800,203040244,1713709,557258,58429,1463801
nor,1800,104026154,1037270,1698780,5221,1997701
omn,1800,1376870877,66957,1797028,57055,1359624
pak,1800,233404700,680345,60414,6899,1310847
pan,1800,698089941,619618,526583,10265,1211333
png,1800,365770521,1824169,1306749,49227,745094
pry,1800,663623817,976131,953336,26183,453145
per,1800,273862643,612343,1637452,70849,1197247
phl,1800,1194783387,454724,1753859,30681,1421364
pol,1800,239129093,147156,842005,121735,312036
prt,1800,166684927,854490,1971627,127239,1541748
qat,1800,473190496,326625,461377,61147,1414428
rou,1800,1320383291,1483803,1684495,79673,1627362
rus,1800,861998460,1538709,1267777,36505,539491
rwa,1800,14624394,1023898,1413467,40835,1367390
sau,1800,324820197,857039,877034,16273,423951
sen,1800,475903132,836205,63824,39399,1811777
srb,1800,646613928,1385994,155235,59431,963810
sle,1800,1157028610,1026131,1134445,3634,1164549
sgp,1800,1134113993,726120,890727,38849,1016277
svk,1800,503069419,1771591,534441,22895,1756457
svn,1800,1286354834,1246372,1171802,44075,496371
slb,1800,68000285,573467,1112274,33786,1961126
som,1800,1028928257,1090947,969502,129227,582968
zaf,1800,746607673,1392261,1070492,86345,1383057
kor,1800,512757158,1045924,233549,113328,831416
sds,1800,565852170,646648,549763,128552,308069
esp,1800,1241224676,532916,465788,84468,1679708
lka,1800,1132467340,1930894,1706181,83216,149865
sdn,1800,513107173,1624443,1561208,23934,250139
sur,1800,636354329,721995,1410016,99442,1067851
swz,1800,982239174,381631,102966,89946,1243867
swe,1800,921745850,1172423,1846185,101169,900624
che,1800,1050843240,941791,1753900,75755,850151
syr,1800,730026246,174493,689866,432,1554832
tjk,1800,954037162,422458,1666719,118377,444407
tza,1800,909632170,763276,1458577,49327,669783
tha,1800,862110304,59952,1890647,113032,203939
tls,1800,708846659,1365447,883109,88660,105681
tgo,1800,897737751,59042,1175403,9715,923828
tto,1800,644807711,1738322,754896,51348,716612
tun,1800,470265445,1698820,531600,30595,544071
tur,1800,1149863101,97135,1220188,14902,1185037
tkm,1800,285418254,503836,646807,81743,1522232
uga,1800,100777103,291094,1211103,43029,69330
ukr,1800,649820630,547285,882285,5160,482960
are,1800,786009347,1666744,569637,83901,221434
gbr,1800,293867545,506006,243152,81380,1360155
usa,1800,332814782,1415271,1372020,94364,36798
ury,1800,487254072,839193,717839,64824,1364767
uzb,1800,426459489,144083,1151845,108495,99990
ven,1800,1151559794,27478,668775,41023,136285
vnm,1800,279142618,263000,1688622,10904,1655545
pse,1800,1151689483,1807090,1337097,68536,896291
yem,1800,122657638,1705462,1960350,121233,1538990
zmb,1800,323363391,984868,305033,19180,1218335
zwe,1800,573818075,757143,1237635,90204,612069
afg,1801,626577995,1977937,839760,108877,1639004
alb,1801,1274333302,1257943,1073140,117409,146828
dza,1801,1170790182,1923484,213021,81182,1586996
ago,1801,1028990489,659576,619229,77187,597773
arg,1801,911756399,13159,478845,118807,1122750
arm,1801,486151771,144305,1079140,87905,1696564
aus,1801,1017845554,155673,735897,60720,1596710
aut,1801,499918757,1959228,951298,85444,177745
aze,1801,302784988,1590573,488488,31480,1242905
bhr,1801,1245229311,1631338,1881204,121159,326320
bgd,1801,850353650,1257944,904274,115952,786341
blr,1801,821777249,1253597,1149246,37599,1770313
bel,1801,750948826,925814,1427048,49016,1667964
ben,1801,539956747,1010876,64822,32472,506293
btn,1801,898007773,1420150,820786,43072,228766
bol,1801,56085873,1331454,1403559,96100,1987317
bih,1801,529596837,640790,1466977,5059,205941
bwa,1801,947947756,1116755,707212,65864,1569208
bra,1801,206959890,370943,59816,56351,910308
bgr,1801,58286848,959190,1217723,120757,1496489
bfa,1801,1159651676,1765341,478214,39374,677905
bdi,1801,1066217921,386035,437673,108227,618440
khm,1801,674204769,976419,534009,21023,1894554
cmr,1801,829833438,353414,218122,125991,850047
can,1801,1109804542,35361,525256,1050,937356
cpv,1801,335696956,579827,1209605,92153,214310
caf,1801,366302825,1487390,1106890,40860,531342
tcd,1801,803337927,1932528,1130401,9195,807571
chl,1801,587161693,1172422,1712928,20079,782967
chn,1801,604653168,1879013,1494838,101102,400282
col,1801,606765069,421798,1817767,11513,889399
com,1801,1331583383,1544803,426724,116517,1582775
cod,1801,466324847,775518,898733,46483,1404528
cog,1801,801851210,1698298,1183667,112388,771332
cri,1801,557188292,782593,309189,5118,612577
civ,1801,1016748856,855732,1173793,53058,1525733
cub,1801,1114928959,59185,50150,36616,1428245
cyp,1801,276825525,1839627,1441074,62997,1972902
cze,1801,593046708,850466,531987,60185,974972
dnk,1801,1228633565,264358,1160983,28558,15357
dji,1801,271221913,1341961,1877715,107498,1805581
dom,1801,9370650,195591,1737392,82551,788928
ecu,1801,301509200,302102,601877,22354,95091
egy,1801,1046012120,688808,852494,120555,514591
slv,1801,938627130,1510773,492992,64603,1403202
gnq,1801,480726382,579979,55626,34287,193726
